# {"env_id": "HopperBulletEnv-v0", "t_start": 1587161614.5459487} 
r,l,t
16.33,5,11.555655
17.778208,8,11.566024
20.54492,11,11.580363
18.03654,9,11.591972
19.538011,9,11.603752
11.360256,11,11.619027
16.869234,6,11.626782
12.305758,8,11.637152
17.51285,7,11.646264
18.207303,13,11.663347
15.509724,6,11.671376
17.108111,15,11.690626
15.733442,6,11.698552
14.362327,8,11.708988
17.749646,6,11.7171
16.700294,18,11.740052
16.741419,11,11.754048
18.556457,9,11.76582
17.552548,9,11.777443
16.938561,5,11.784134
17.016526,7,11.793161
21.804817,9,11.804783
15.255012,7,11.814143
18.111762,12,11.829184
17.152485,7,11.838784
1.48739,19,11.862606
16.766178,9,11.874117
15.414217,9,11.885605
18.565049,6,11.893547
19.675929,8,11.903929
15.882334,6,11.911848
11.68456,8,11.922184
15.346737,7,11.931677
17.065648,7,11.940877
17.98223,8,11.951316
12.779083,6,11.959225
13.730241,9,11.97086
15.760095,6,11.978804
14.155171,5,11.985455
14.649691,5,11.992148
12.904837,6,11.999984
18.004439,7,12.009064
17.152527,6,12.017441
12.622542,8,12.02769
11.997943,9,12.039092
11.262892,9,12.05045
18.270102,11,12.06418
18.110705,6,12.072032
19.792216,7,12.081061
16.583865,7,12.090079
14.805659,6,12.098584
14.100557,5,12.105264
18.009063,8,12.11557
9.916484,5,12.12231
19.994989,9,12.134287
16.24451,13,12.156273
14.805472,11,12.173258
17.629721,9,12.186613
16.182868,12,12.203893
19.089717,9,12.215886
16.497206,5,12.222579
16.144212,6,12.230512
16.089507,8,12.240853
14.759525,8,12.251753
13.989626,7,12.26107
22.04326,15,12.279949
15.537459,8,12.294988
12.26656,5,12.302929
19.2503,8,12.315121
20.448287,10,12.330223
17.214404,11,12.345786
15.799743,7,12.355721
18.770593,12,12.371542
15.860991,13,12.387842
12.91916,5,12.394456
17.052859,5,12.401105
14.592643,10,12.413541
13.388573,13,12.430008
19.955532,6,12.438018
15.89533,9,12.449332
16.998372,9,12.460867
16.152846,8,12.471253
20.098528,7,12.48042
16.15197,14,12.498981
18.942039,9,12.510877
17.038476,9,12.522409
14.372007,10,12.535335
15.374026,6,12.543342
13.882651,6,12.551015
13.976319,5,12.557595
16.260762,6,12.565376
19.218786,11,12.57935
16.272736,8,12.765232
15.577078,5,12.772224
15.818781,7,12.781621
19.882339,10,12.794779
16.040964,5,12.801501
17.494306,7,12.810603
15.551829,6,12.818511
15.532735,9,12.830176
16.989381,6,12.838188
20.664304,9,12.850579
17.001959,6,12.858467
20.413101,7,12.86765
14.565423,7,12.881884
12.115726,13,12.901612
20.416001,13,12.920269
13.971149,5,12.927372
15.425203,5,12.934328
19.484043,11,12.949172
16.0509,8,12.959861
16.55167,7,12.96885
15.094329,7,12.977958
18.075796,9,12.989596
16.666384,13,13.006016
16.156112,5,13.012668
14.49851,5,13.019193
15.647786,5,13.026104
17.042583,6,13.034019
13.294971,5,13.040726
17.499178,5,13.047537
17.106936,8,13.057777
15.691805,6,13.065634
19.217898,7,13.074668
13.183967,14,13.092247
15.92278,7,13.101452
15.218001,7,13.110476
17.139582,8,13.1207
18.558543,6,13.12874
14.296363,7,13.13803
17.892736,5,13.144602
16.177039,8,13.154774
20.335567,8,13.165047
15.486793,8,13.175303
12.709085,8,13.185716
9.203447,12,13.200726
16.747308,6,13.208857
18.05329,7,13.21804
15.465788,9,13.229767
19.229799,12,13.24542
17.739762,8,13.255636
16.210202,6,13.263385
15.796434,7,13.272494
15.748008,7,13.28151
13.486798,6,13.289426
16.27626,10,13.302144
15.429293,10,13.31487
16.236288,7,13.323906
20.004722,8,13.334241
16.17784,6,13.342298
15.696773,7,13.351624
18.054033,9,13.36302
16.455682,9,13.374506
18.144586,9,13.385953
17.882914,8,13.396087
21.48741,14,13.413455
19.188681,8,13.423625
15.733224,8,13.43402
15.538457,7,13.443114
14.724002,6,13.451215
19.862139,6,13.459187
19.000108,7,13.468174
13.806038,10,13.480765
14.017786,5,13.487334
20.335827,9,13.498904
16.010057,5,13.506309
14.679964,6,13.514389
15.906815,5,13.521049
16.424136,8,13.531365
13.139786,8,13.541629
15.361275,7,13.550788
13.268347,6,13.558652
16.138354,11,13.572581
14.990807,7,13.581563
14.549148,6,13.589255
17.209463,6,13.597033
14.857824,6,13.604803
15.032056,7,13.615311
16.390408,8,13.625598
15.681684,5,13.632299
16.840493,5,13.63887
10.376657,6,13.646549
15.981205,9,13.65796
13.325348,11,13.671787
18.316457,10,13.684386
19.437015,13,13.700531
17.768143,8,13.711191
15.84643,8,13.721968
15.234719,7,13.731237
16.292085,8,13.74161
18.603975,8,13.751891
15.817665,8,13.762145
18.065749,7,13.771247
13.542472,7,13.780306
14.390814,8,13.790663
16.947661,8,13.800899
18.036396,10,13.814409
18.816754,12,13.829959
15.998524,7,13.844593
17.198951,5,13.852386
20.451217,14,13.873791
18.141492,8,13.885514
17.634887,6,13.893566
19.423209,9,13.905154
14.32671,7,13.91429
17.132227,6,13.922472
19.677301,9,13.93397
16.882829,8,13.944386
16.990888,11,13.959192
14.0368,9,13.970757
17.087617,11,13.984743
