eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
496.06,791.8367040799999,660,0.008283487,0.115112305,2.0749707,-0.002849593,98.59518,0.48429054021835327,800,1638400,2444.5475110160005,1638400
425.38,692.71975275,673,0.011064337,0.1496582,2.0762389,0.00020869158,33.055138,0.9110406339168549,810,1658880,2474.855585778001,1658880
477.35,771.5964486500001,671,0.012967753,0.18017578,2.067614,-0.004111872,101.32426,0.6902227699756622,820,1679360,2505.1996558009996,1679360
440.56,708.51603602,655,0.020416157,0.25805664,2.0451999,-0.0063629765,76.477165,0.8874546587467194,830,1699840,2535.5924317009994,1699840
385.84,633.26404455,663,0.019482521,0.2578125,2.0283942,-0.00047630467,62.46965,0.7801645398139954,840,1720320,2565.941428715001,1720320
520.79,833.2302064299998,659,0.008014486,0.10522461,2.016472,0.00033931434,88.44476,0.0098189115524292,850,1740800,2596.329884504001,1740800
544.22,859.2335369100001,666,0.009378113,0.12902832,2.0079627,0.0008172121,57.154404,0.6792656183242798,860,1761280,2626.7735097900004,1761280
589.6,920.14079197,660,0.018870873,0.23474121,1.9958913,-0.0015917367,109.459236,0.48516005277633667,870,1781760,2657.062773087,1781760
369.91,605.9274016200001,662,0.009063351,0.12243652,1.9950266,-0.00035993184,85.45019,0.8806533887982368,880,1802240,2687.5321812399998,1802240
338.68,569.6516872699999,652,0.010522495,0.14611816,1.9808275,-3.922265e-06,52.320744,0.7160354554653168,890,1822720,2717.971548437001,1822720
474.18,780.8567110700001,678,0.018340483,0.26293945,1.9782058,-0.00122534,55.979156,0.6701558232307434,900,1843200,2748.4322616129994,1843200
608.36,999.6473307200001,655,0.004764242,0.06225586,1.9618235,-0.0007713201,80.90696,0.8190208524465561,910,1863680,2778.794682670001,1863680
660.31,1088.17135893,668,0.020148756,0.23266602,1.9473424,0.0010118231,55.401653,0.7054445147514343,920,1884160,2809.159689332,1884160
661.82,1083.57936214,648,0.02410573,0.27294922,1.9217098,0.0017429341,94.922424,0.011002659797668457,930,1904640,2839.5546665290003,1904640
664.7,1069.4810987600001,673,0.02412552,0.26696777,1.9256498,0.00038964732,89.983505,0.07421815395355225,940,1925120,2869.834999062001,1925120
579.84,900.21602375,639,0.018063784,0.23376465,1.9066226,0.011289144,38.216747,0.9102531000971794,950,1945600,2900.3345484519996,1945600
520.42,817.1578016600001,663,0.011125733,0.14978027,1.8865311,0.0011651869,17.30518,0.938111636787653,960,1966080,2930.7144841709996,1966080
463.89,772.6540791400001,661,0.007071685,0.09399414,1.8848344,-0.00089425244,27.192024,0.9310920462012291,970,1986560,2961.061618607,1986560
495.39,839.8836897000001,673,0.02044812,0.24902344,1.865544,0.0011350496,96.35753,0.03068840503692627,980,2007040,2991.436147419001,2007040
568.25,930.23181258,654,0.0125090275,0.17211914,1.8639984,0.0004923841,59.07959,0.6641212105751038,990,2027520,3021.8729320679995,2027520
603.76,975.7329094499999,667,0.004625691,0.05407715,1.8626375,-0.0014975166,74.65903,0.8289345055818558,1000,2048000,3052.016682179001,2048000
450.26,756.35787932,652,0.0036383432,0.036499023,1.8488637,-0.0025391253,49.461063,0.9296684339642525,1010,2068480,3082.540058535,2068480
401.02,702.7646505600001,671,0.007023141,0.09277344,1.8511169,2.1180516e-05,65.30612,0.806162491440773,1020,2088960,3112.7060412280007,2088960
422.51,745.93935617,649,0.007814912,0.10534668,1.8374848,-0.0050523574,38.373627,0.9329682514071465,1030,2109440,3142.9858849049997,2109440
526.55,921.7806454500001,676,0.0034856515,0.030395508,1.8253642,-0.000607425,75.37954,0.8455557376146317,1040,2129920,3173.070822363001,2129920
538.15,927.2341878399998,653,0.006752006,0.0904541,1.8215171,-0.00055206363,311.77365,0.2852853536605835,1050,2150400,3203.584473082001,2150400
504.51,861.12579375,668,0.011657971,0.16931152,1.8199644,-0.0067337053,21.28389,0.9536875560879707,1060,2170880,3233.986453806001,2170880
462.75,793.4294364,664,0.013214502,0.17980957,1.8138577,0.0023513148,113.95798,0.5713988542556763,1070,2191360,3264.392547308,2191360
540.43,926.6672230199999,676,0.014808526,0.1928711,1.7924199,0.0078091132,25.899984,0.9386403970420361,1080,2211840,3294.780343953,2211840
600.68,1030.81011483,645,0.01929487,0.25146484,1.7678485,-0.00091371103,116.004326,0.5239443778991699,1090,2232320,3325.3729682070007,2232320
607.98,1048.689282,672,0.008674137,0.11828613,1.7560549,-0.0010955387,117.34794,0.5788674652576447,1100,2252800,3355.425708715,2252800
629.16,1093.35628467,646,0.0048308806,0.05810547,1.7507201,-0.0013543423,120.86194,0.7150927484035492,1110,2273280,3385.83461109,2273280
615.32,1076.3707103499999,674,0.011558951,0.15075684,1.7518158,-0.00020796934,108.42761,0.021484375,1120,2293760,3416.0427849629996,2293760
673.02,1175.78282339,649,0.018032828,0.19909668,1.7466742,-0.00065869256,109.971924,0.020783662796020508,1130,2314240,3446.375467228001,2314240
656.02,1153.0555439999998,672,0.09951514,0.53601074,1.718479,0.037933536,39.65031,0.9244808033108711,1140,2334720,3476.5220144020004,2334720
737.51,1284.46024025,654,0.012717323,0.17883301,1.7117417,0.0010183757,108.31666,0.07019174098968506,1150,2355200,3506.84549962,2355200
723.68,1258.68955124,662,0.0051772264,0.06713867,1.7070743,-0.0009039176,39.144726,0.9350146502256393,1160,2375680,3537.202887865,2375680
572.83,1008.8517869300001,649,0.00789722,0.10449219,1.6985122,-0.0019923148,39.962997,0.9525932259857655,1170,2396160,3567.6389128009996,2396160
433.54,783.9845555300001,679,0.016862078,0.2479248,1.684668,-0.0024430836,68.046394,0.732124000787735,1180,2416640,3597.916326558001,2416640
490.81,873.8548978,661,0.010244384,0.15283203,1.6812135,-0.0019465458,145.20284,0.6819542646408081,1190,2437120,3628.397135804,2437120
588.14,1042.12996334,668,0.0124007,0.17602539,1.6628615,-0.003880954,118.62756,0.03947639465332031,1200,2457600,3658.6663473930003,2457600
716.83,1266.1040470700002,668,0.013410302,0.16967773,1.6401184,0.002411032,120.42796,-0.010544300079345703,1210,2478080,3689.225524308,2478080
702.12,1250.5758885,669,0.0030853788,0.028320312,1.6286964,0.00017635865,75.43802,0.9050068110227585,1220,2498560,3719.350906621001,2498560
682.75,1218.9189191,672,0.01380465,0.1751709,1.6028383,0.004141127,114.91844,0.02264469861984253,1230,2519040,3749.750234291001,2519040
641.1,1142.8676517699998,675,0.010330272,0.13928223,1.5913843,0.0007920331,71.9923,0.6979483366012573,1240,2539520,3779.975581003,2539520
631.57,1119.9286432000001,661,0.021471567,0.27941895,1.5718632,0.006870905,51.266926,0.9042792916297913,1250,2560000,3810.473764530001,2560000
695.41,1237.35632275,666,0.007006644,0.09033203,1.5609959,-0.0005105252,34.603306,0.9506905898451805,1260,2580480,3840.5823132799997,2580480
681.03,1223.4618447,680,0.0134436665,0.19311523,1.5575384,-0.0002685039,78.75107,0.6583791971206665,1270,2600960,3871.035809211,2600960
605.47,1099.35074481,666,0.008451048,0.119628906,1.5761261,-0.0026069544,43.074875,0.9384243339300156,1280,2621440,3901.4268407540003,2621440
548.09,1000.7506642899998,667,0.00648509,0.08703613,1.5596178,-0.0018354878,79.11055,0.7059520483016968,1290,2641920,3931.940684864001,2641920
534.35,981.06072166,677,0.014326118,0.19628906,1.5499399,0.0003550038,141.10634,0.5626607835292816,1300,2662400,3962.1402456800006,2662400
616.27,1129.2687874800001,661,0.006861395,0.091674805,1.5404506,0.0015136446,87.20462,0.864606186747551,1310,2682880,3992.6662417690004,2682880
670.38,1219.7002401500001,672,0.01192221,0.16088867,1.5362018,-2.321921e-05,128.77374,-0.016126632690429688,1320,2703360,4022.8579259729995,2703360
711.61,1288.3925556499998,671,0.010707549,0.14135742,1.5151972,0.0019920631,122.16276,-0.015524744987487793,1330,2723840,4053.2759465239997,2723840
754.65,1365.23669583,676,0.011092186,0.15197754,1.5050002,-0.0002655295,86.08482,0.6507204473018646,1340,2744320,4083.4533439749994,2744320
775.95,1393.5599879199997,670,0.012848044,0.18066406,1.4892267,-0.00042473996,137.36882,0.5677473545074463,1350,2764800,4113.9030180009995,2764800
734.01,1314.18566827,673,0.00840791,0.12158203,1.4732375,-0.00012242532,77.93366,0.825871467590332,1360,2785280,4144.134945318001,2785280
646.96,1160.6678393400002,682,0.00563945,0.07287598,1.4561536,-0.00070678885,73.98572,0.9300098121166229,1370,2805760,4174.381955406001,2805760
519.59,957.5881839199999,667,0.005214039,0.067871094,1.4585236,-0.0036938307,70.084496,0.9317992404103279,1380,2826240,4204.570147222999,2826240
558.35,1033.0215767200002,671,0.022744078,0.29309082,1.458115,0.00652323,31.411518,0.9482119046151638,1390,2846720,4234.992237370001,2846720
587.01,1087.37058801,673,0.0060415715,0.07897949,1.4546044,-0.0024406966,37.50865,0.9382834285497665,1400,2867200,4265.263658977001,2867200
642.81,1183.48088869,671,0.01469262,0.19616699,1.4514683,0.0024457714,134.72617,0.5839371979236603,1410,2887680,4295.642500592001,2887680
676.19,1238.0125415300001,679,0.0018043672,0.01159668,1.4439532,-5.7100784e-05,79.07311,0.8985928297042847,1420,2908160,4325.773513859,2908160
665.59,1219.6498191500002,685,0.016151149,0.2175293,1.4408944,0.0012618504,123.35882,0.02201557159423828,1430,2928640,4356.111669092001,2928640
603.42,1111.65033424,664,0.01256667,0.17797852,1.4368458,0.003777706,81.65727,0.9336571916937828,1440,2949120,4386.479934446001,2949120
518.76,962.43817266,671,0.008420804,0.11328125,1.4190568,-0.0027275132,121.47509,0.6447524130344391,1450,2969600,4416.808997312,2969600
545.71,1013.9824109799999,663,0.028257795,0.31420898,1.4035168,0.004598432,135.52286,0.5806066989898682,1460,2990080,4447.151158114,2990080
580.16,1078.26110512,668,0.0061873957,0.08605957,1.394948,-0.003354128,134.39516,0.8493963927030563,1470,3010560,4477.589007009001,3010560
617.39,1142.70834664,663,0.0122371325,0.17333984,1.3899975,0.00024283421,25.105827,0.9574037753045559,1480,3031040,4507.87525555,3031040
678.69,1252.2975996500002,668,0.0065136515,0.08276367,1.3731315,-0.00037893938,83.426506,0.8184826821088791,1490,3051520,4538.303085154001,3051520
710.19,1301.23000068,663,0.020621795,0.23242188,1.3650991,0.0031808037,135.01282,0.5601059198379517,1500,3072000,4568.712370141,3072000
799.23,1461.8435423300002,669,0.07454679,0.48486328,1.3493776,0.015138377,93.83106,0.7804887741804123,1510,3092480,4599.206588250001,3092480
806.14,1473.9887017199999,685,0.007302912,0.0982666,1.3485215,1.6799953e-05,134.3121,0.5806895792484283,1520,3112960,4629.4321360369995,3112960
775.44,1415.4914983300002,671,0.021537561,0.28173828,1.3350936,-0.0006560828,121.27532,0.028693735599517822,1530,3133440,4659.870742630001,3133440
755.02,1379.21121747,667,0.00870727,0.1138916,1.3348427,-0.0009499753,119.87983,0.012397468090057373,1540,3153920,4690.216460201,3153920
710.3,1301.24953402,664,0.006192356,0.0793457,1.3241965,-0.0017890942,150.15027,0.6958743631839752,1550,3174400,4720.630129430001,3174400
622.3,1150.3955498200003,676,0.003523554,0.030761719,1.3258866,0.00089309027,45.80029,0.9399437867105007,1560,3194880,4751.0395390680005,3194880
539.48,1015.4790836100002,668,0.0050294716,0.06262207,1.3154316,-0.003030582,55.991932,0.9159380421042442,1570,3215360,4781.399857073,3215360
567.17,1065.82273258,678,0.009848342,0.13110352,1.2944347,-0.0013974048,86.24054,0.81752048432827,1580,3235840,4811.7193603,3235840
649.48,1210.08466217,663,0.015496665,0.21606445,1.3020988,0.003596989,127.6454,0.0014360547065734863,1590,3256320,4842.076978608,3256320
689.95,1268.49655764,673,0.011628661,0.1529541,1.2901796,0.00087004993,115.814026,0.8569436967372894,1600,3276800,4872.452162642001,3276800
698.05,1274.21789503,677,0.016808268,0.2052002,1.2933738,0.0038667745,128.8637,-0.030318260192871094,1610,3297280,4902.709588773001,3297280
693.43,1261.17116522,665,0.0048683085,0.05432129,1.2974452,-0.0037733582,43.584953,0.9520627744495869,1620,3317760,4933.009543241,3317760
611.24,1124.89662843,659,0.0087410165,0.11621094,1.2785467,0.0014877607,124.33183,0.008106768131256104,1630,3338240,4963.524507548,3338240
623.0,1141.43926132,670,0.013121215,0.1739502,1.3045561,7.856573e-05,117.59462,0.8031366318464279,1640,3358720,4993.810447053,3358720
616.28,1121.30414104,682,0.010512149,0.1517334,1.2806076,-0.00055909716,134.40088,0.5809491574764252,1650,3379200,5024.121876637,3379200
718.6,1284.30362631,674,0.014407033,0.19030762,1.2680061,0.0016148034,153.4976,0.3421705365180969,1660,3399680,5054.432660405,3399680
736.67,1270.46653527,655,0.022839636,0.27087402,1.2734654,0.006696704,112.0449,0.04144787788391113,1670,3420160,5085.08630022,3420160
726.76,1235.31003917,681,0.011013094,0.15673828,1.2590898,-0.00334461,171.73961,0.47931843996047974,1680,3440640,5115.258825936,3440640
552.48,967.56767411,680,0.013490462,0.17980957,1.2441788,-0.0012390465,93.06201,0.8725611120462418,1690,3461120,5145.600433175001,3461120
466.62,868.1865844700001,675,0.0064619407,0.0871582,1.2380171,0.00019273986,303.51678,0.4558033347129822,1700,3481600,5175.862077719001,3481600
531.16,997.8444903999999,678,0.005781437,0.067871094,1.2310227,-0.002762005,137.34933,0.857586994767189,1710,3502080,5206.285429337,3502080
579.27,1083.8004023199999,670,0.01368771,0.18920898,1.2175771,0.0027384919,157.19835,0.7613732516765594,1720,3522560,5236.602338120001,3522560
618.82,1159.24581549,666,0.0039055462,0.040893555,1.2157376,-0.0014581501,123.327644,0.8877659738063812,1730,3543040,5266.944068126,3543040
662.35,1240.4339733900001,681,0.008732484,0.11364746,1.216999,-0.0032987427,98.338356,0.3078816533088684,1740,3563520,5296.820536866,3563520
582.05,1092.1801208800002,670,0.0063180514,0.079956055,1.2085285,-0.0036648226,52.51742,0.9425284080207348,1750,3584000,5327.2117451760005,3584000
609.1,1137.31615359,671,0.014337711,0.19641113,1.2063215,-0.0035068297,34.52164,0.9102552905678749,1760,3604480,5357.332001693001,3604480
564.12,1048.0985535399998,669,0.03746283,0.31774902,1.2033743,0.0138753615,157.31729,0.6825746595859528,1770,3624960,5387.879136123,3624960
584.81,1090.31443317,671,0.007356314,0.10449219,1.2043118,-0.0028783062,34.612606,0.9350615292787552,1780,3645440,5418.269368909001,3645440
564.67,1059.27067441,669,0.002745605,0.019165039,1.1928804,-0.0015757605,104.79417,0.8297603726387024,1790,3665920,5448.600337727999,3665920
584.97,1109.4907727700001,669,0.008558632,0.12036133,1.1845245,-0.0027181595,103.388054,0.7294829487800598,1800,3686400,5478.8465811900005,3686400
615.38,1144.69102763,683,0.023464523,0.2593994,1.1647812,0.008743575,209.93018,0.4222140312194824,1810,3706880,5509.119607076,3706880
587.08,1058.81925043,666,0.026734121,0.3206787,1.1686293,0.011093747,102.73638,0.7637749761343002,1820,3727360,5539.240923773001,3727360
478.31,835.5520969500001,672,0.014015913,0.17333984,1.1695149,-0.00042974157,338.8349,0.5389197766780853,1830,3747840,5569.449425293,3747840
374.08,640.40320366,663,0.014988546,0.19628906,1.1386565,0.0032886902,479.26572,0.3517245650291443,1840,3768320,5599.688362045001,3768320
273.91,441.33853744,664,0.008848378,0.11669922,1.1095216,0.0022923434,437.03613,0.20286130905151367,1850,3788800,5630.223737553,3788800
322.58,529.50533912,668,0.013465739,0.20336914,1.0959052,-0.00062023615,204.75003,0.0248183012008667,1860,3809280,5660.644785773,3809280
413.4,691.0863386399999,667,0.0069402633,0.09631348,1.084765,0.0005123399,301.95688,-0.006860971450805664,1870,3829760,5691.356838243,3829760
487.16,839.2350784799997,665,0.010550963,0.1550293,1.0774312,0.0004141435,118.237755,0.5824151635169983,1880,3850240,5721.631418639001,3850240
577.73,1005.75230532,672,0.012422398,0.17565918,1.0756553,-0.00044798385,181.18318,0.2667570114135742,1890,3870720,5752.318925844,3870720
604.05,1072.89679912,671,0.03863686,0.3708496,1.0676218,0.024203619,61.53514,0.9327873960137367,1900,3891200,5782.534645107,3891200
